PlatformGenre,Continent,SumSales
GBAStrategy,North America,4.21
GBAStrategy,Europe,1.31
GBAStrategy,Asia,1.78
GBAAdventure,North America,9.21
GBAAdventure,Europe,3.52
GBAAdventure,Asia,1.57
GBAFighting,North America,2.9
GBAFighting,Europe,1.07
GBAFighting,Asia,0.14
GBAAction,North America,37.13
GBAAction,Europe,14.7
GBAAction,Asia,2.47
GBASimulation,North America,3.61
GBASimulation,Europe,1.43
GBASimulation,Asia,0.74
GBAShooter,North America,2.35
GBAShooter,Europe,0.87
GBAShooter,Asia,0.32
GBAMisc,North America,24.64
GBAMisc,Europe,9.23
GBAMisc,Asia,1.69
GBAPuzzle,North America,7.36
GBAPuzzle,Europe,2.57
GBAPuzzle,Asia,2.64
GBARole-Playing,North America,28.29
GBARole-Playing,Europe,12.87
GBARole-Playing,Asia,21.21
GBARacing,North America,11.73
GBARacing,Europe,5.04
GBARacing,Asia,1.5
GBAPlatform,North America,45.81
GBAPlatform,Europe,18.85
GBAPlatform,Asia,11.28
GBASports,North America,10.3
GBASports,Europe,3.79
GBASports,Asia,1.99
PS4Strategy,North America,0.17
PS4Strategy,Europe,0.21
PS4Strategy,Asia,0.16
PS4Adventure,North America,1.95
PS4Adventure,Europe,3
PS4Adventure,Asia,0.45
PS4Fighting,North America,3.6
PS4Fighting,Europe,2.97
PS4Fighting,Asia,0.75
PS4Action,North America,32.83
PS4Action,Europe,42.71
PS4Action,Asia,5.9
PS4Simulation,North America,0.21
PS4Simulation,Europe,0.68
PS4Simulation,Asia,0.18
PS4Shooter,North America,32.66
PS4Shooter,Europe,39.16
PS4Shooter,Asia,2.81
PS4Misc,North America,3.14
PS4Misc,Europe,3.35
PS4Misc,Asia,0.42
PS4Puzzle,North America,0
PS4Puzzle,Europe,0.02
PS4Puzzle,Asia,0
PS4Role-Playing,North America,9.34
PS4Role-Playing,Europe,11.96
PS4Role-Playing,Asia,3.59
PS4Racing,North America,2.61
PS4Racing,Europe,7.45
PS4Racing,Asia,0.26
PS4Platform,North America,2.45
PS4Platform,Europe,3.6
PS4Platform,Asia,0.49
PS4Sports,North America,19.78
PS4Sports,Europe,25.98
PS4Sports,Asia,0.99
3DSStrategy,North America,0.78
3DSStrategy,Europe,0.35
3DSStrategy,Asia,0.85
3DSAdventure,North America,1.18
3DSAdventure,Europe,0.79
3DSAdventure,Asia,2.76
3DSFighting,North America,4.46
3DSFighting,Europe,2.21
3DSFighting,Asia,3.22
3DSAction,North America,19.8
3DSAction,Europe,12.85
3DSAction,Asia,22.66
3DSSimulation,North America,7.58
3DSSimulation,Europe,8.12
3DSSimulation,Asia,10.39
3DSShooter,North America,0.66
